audio_path,raw_asr,segment_file
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0000.wav, अपने ताई बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो,1020918_seg0000.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0001.wav, अगर तो जमएदारिया भी नहीं हुती हैं और उगर उगर हुती हैं हुती हैं मस्ती बर्पूर हुती हैं जित्री आमको मस्ती करनी अत्री करो जमएदारिया कोई बड़न नहीं हुता,1020918_seg0001.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0002.wav, अपको जुकरना जुकरना जुकरना सर्प अब उसर्प ये काम आँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ�,1020918_seg0002.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0003.wav, अगर बादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया,1020918_seg0003.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0004.wav, भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ,1020918_seg0004.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0005.wav, अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,1020918_seg0005.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0006.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,1020918_seg0006.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0007.wav, आप,1020918_seg0007.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0009.wav, जी सर प्ल्प्ल्प्वोग रही तो बहमारी शरार दे तो बहुत आँज ज़ा न ज़ा न बारे ग तीचर वुगा गर थे अमको उ शाँईज प्शाइज प्राते थे तो गय उ तोडे एज़ थे तो आप,1020918_seg0009.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0010.wav, अपने लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ा�,1020918_seg0010.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0011.wav, अपको अपको अपको तो कुछ सवल में नहीं आरा के ख़ा पहाते हैं तो हमार की सीने सुनी नहीं उनके वह प्यकल्ती वे नहीं ती अप जो ती वो पहारे रहे थे तो हम सभी नहीं एक एसा गो बनाया की,1020918_seg0011.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0012.wav, अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,1020918_seg0012.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0013.wav, अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपक,1020918_seg0013.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0014.wav, अप दिमार को पस्मस्ती माँ निन ती निन चीजो में लगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा �,1020918_seg0014.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0015.wav, अप इस बाप यह एक बाथ नहीं बताना चाँँगा तो हमारा हम आमरे एक मित्र थे उंगे पास यह पहले इस्कुटी चला गरती ती इस्कुटी ताप यह अपने देखा अगा पैप करके यह आप यह आप यह आप यह यह यह यह यह यह यह यह यह यह यह यह यह यह यह �,1020918_seg0015.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0016.wav, अगर था ज़ोड़ी जी अती ती तो वो नकी सिष्टर की वागर ती तो वो नकी सिष्टर वो लोगे आइती तो एसा मोगा मिला विस्कुल का ता तो वो लेके आगा एई शायकल नी कहरागो ग़े तो आम भी साचने चल दीवो नी वो नी,1020918_seg0016.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0017.wav, अम आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आ� आप आ� आ� आ� आ� आ� आ� �,1020918_seg0017.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0018.wav, अगर बचादा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा ल�,1020918_seg0018.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0019.wav, अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताए�,1020918_seg0019.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0020.wav, तो सावने ब्रेज्द्पल कडेतें,1020918_seg0020.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0021.wav, अदी,1020918_seg0021.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0023.wav, जीब ये बिल्खोल बिल्खोल जीब,1020918_seg0023.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0024.wav, अग जीँ,1020918_seg0024.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0027.wav, तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ,1020918_seg0027.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0028.wav, अ,1020918_seg0028.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0029.wav, भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ,1020918_seg0029.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0030.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,1020918_seg0030.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0031.wav, येंकों,1020918_seg0031.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0032.wav, ता,1020918_seg0032.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0033.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,1020918_seg0033.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0034.wav, याखेई यी यी यी यी यी,1020918_seg0034.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0035.wav, भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ,1020918_seg0035.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0036.wav, अगा मिलकोल,1020918_seg0036.wav
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0037.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,1020918_seg0037.wav
